beta,mean_beta,mean_tau,variance_beta,variance_tau,num_of_sim,metric,sim_id
0,1.03007381,0.90825032,0.00556565,0.0185092,197762,bertscore,1
0.1,1.01735954,1.06092818,0.00483915,0.0118101,116475,bertscore,1
0.01,1.01905661,1.03533947,0.00710215,0.01432838,83078,bertscore,1
0.001,1.04085179,0.97914731,0.00623234,0.01983826,208711,bertscore,1
0,1.03600825,0.91165179,0.00634379,0.01870899,232340,pairwise,1
0.1,1.01872652,1.05883642,0.00503314,0.0116629,90724,pairwise,1
0,1.01965283,0.92574648,0.0072083,0.02440334,99467,bertscore,2
0,1.03129503,0.9108081,0.00682446,0.01808137,167710,bertscore,3
0,1.02776948,0.91806347,0.00662646,0.0217751,156417,bertscore,4
0,1.01194923,0.94593781,0.01203503,0.04045793,55111,bertscore,5
0,1.02047779,0.93305933,0.00873921,0.03018685,54448,pairwise,2
0,1.02680981,0.92371651,0.00554467,0.02143504,174194,pairwise,3
0,1.03168332,0.90524426,0.00616545,0.01887911,153425,pairwise,4
0,1.03305012,0.91253337,0.00601422,0.02176803,165361,pairwise,5
0.1,1.01420034,1.06211627,0.00450118,0.01085824,118255,bertscore,2
0.1,1.01225931,1.06640069,0.00514008,0.011441,56332,bertscore,3
0.1,1.0223858,1.05448265,0.00446503,0.0101686,141491,bertscore,4
0.1,1.01298997,1.05721744,0.0047528,0.01152928,100178,bertscore,5
0.1,1.02061764,1.06173074,0.00380525,0.00870511,186790,pairwise,2
0.1,1.01679541,1.06079243,0.00436589,0.00905786,178121,pairwise,3
0.1,1.01306475,1.05858327,0.00439032,0.01199053,114291,pairwise,4
0.1,1.01990342,1.05916116,0.00379911,0.00923421,189517,pairwise,5
0.01,1.00845741,1.0378492,0.00714271,0.01527752,70403,bertscore,2
0.01,0.98608644,1.11936819,0.03359249,0.08291322,34026,bertscore,3
0.01,1.0123298,1.03723151,0.00728929,0.01526892,74650,bertscore,4
0.01,1.01660685,1.0343196,0.00660989,0.01235838,93596,bertscore,5
0.01,1.01296836,1.03886244,0.0065264,0.01363484,96499,pairwise,2
0.01,1.00952018,1.04399368,0.00781508,0.01753741,43716,pairwise,3
0.01,1.00846477,1.04434643,0.00728101,0.01621843,70564,pairwise,4
0.01,0.99934156,1.05484613,0.01264667,0.02746789,34509,pairwise,5
0.001,1.01958895,1.00121645,0.00904833,0.02785507,69165,bertscore,2
0.001,1.03676921,0.98624385,0.00533891,0.0206178,214544,bertscore,3
0.001,1.0373621,0.99544492,0.00551424,0.02025304,274017,bertscore,4
0.001,1.04143746,0.9813843,0.00518595,0.01787582,265563,bertscore,5
0.001,1.03351483,0.98549975,0.00506782,0.01889374,203285,pairwise,2
0.001,1.04415729,0.98247747,0.00585839,0.01763711,237804,pairwise,3
0.001,1.03234439,0.98219806,0.00551395,0.01956311,179831,pairwise,4
0.001,1.04092031,0.97776017,0.0048303,0.01810568,290841,pairwise,5
0.01,0.99824607,1.12169978,0.04590308,0.10536353,41155,pairwise,1
0.001,1.04695217,0.98033076,0.00526724,0.01941401,273459,pairwise,1